"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1ゆめタウン線","1_平日","1_平日_07時25分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_07時45分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_08時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_08時15分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_10時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_11時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_12時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_13時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_14時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_15時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_16時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_17時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_18時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_19時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
